"id" "rt" "err" "stim" "type" "img" "word" "order"
"259" "6102" 6.8501261661455 0 "FET" "nonword" NA "more" -1.46370410340165
"260" "6102" 6.70441435496411 0 "HALT" "word" NA NA -1.44949338395115
"261" "6102" 6.66057514983969 0 "MAIT" "pseudohomophone" NA "more" -1.43528266450065
"262" "6102" 6.73815249459596 0 "BRAIVE" "pseudohomophone" NA "less" -1.42107194505015
"263" "6102" 6.41017488196617 0 "SOCK" "word" "high" NA -1.40686122559964
"264" "6102" 6.65157187358973 0 "GOARN" "nonword" NA "less" -1.39265050614914
"265" "6102" 6.55250788703459 0 "DRALE" "nonword" NA "more" -1.37843978669864
"266" "6102" 6.40687998606931 0 "MUCK" "word" "low" NA -1.36422906724814
"267" "6102" 6.49072353450251 0 "BAHRN" "pseudohomophone" NA "less" -1.35001834779764
"268" "6102" NA 1 "PRIM" "word" "low" NA -1.33580762834714
"269" "6102" 6.46925031679577 0 "SCOUT" "word" "high" NA -1.32159690889664
"270" "6102" 6.74405918631135 0 "JOYNT" "pseudohomophone" NA "less" -1.30738618944613
"271" "6102" 6.77764659363512 0 "HASTE" "word" "low" NA -1.29317546999563
"272" "6102" NA 1 "MURGE" "pseudohomophone" NA "more" -1.27896475054513
"273" "6102" 6.68210859744981 0 "CAP" "word" "high" NA -1.26475403109463
"274" "6102" 6.48004456192665 0 "FAME" "word" NA NA -1.25054331164413
"275" "6102" 7.43602781635185 0 "CREEM" "pseudohomophone" NA "more" -1.23633259219363
"276" "6102" 6.75460409948796 0 "FAYZE" "pseudohomophone" NA "less" -1.22212187274313
"277" "6102" 6.40357419793482 0 "ROOT" "word" "high" NA -1.20791115329262
"278" "6102" 7.40367029001237 0 "HUE" "word" "low" NA -1.19370043384212
"279" "6102" 6.74993119378857 0 "RORE" "pseudohomophone" NA "more" -1.17948971439162
"280" "6102" 6.44888939414686 0 "BERCE" "nonword" NA "less" -1.16527899494112
"281" "6102" 6.72982407048948 0 "LOAST" "nonword" NA "more" -1.15106827549062
"282" "6102" 6.5694814204143 0 "NEEM" "nonword" NA "more" -1.13685755604012
"283" "6102" 7.18690102041163 0 "MOLE" "word" "high" NA -1.12264683658962
"284" "6102" 6.52649485957079 0 "VICE" "word" "low" NA -1.10843611713911
"285" "6102" 6.49375383985169 0 "MURT" "nonword" NA "more" -1.09422539768861
"286" "6102" 6.46302945692067 0 "OATH" "word" "low" NA -1.08001467823811
"287" "6102" 6.52795791762255 0 "CLAIVE" "nonword" NA "less" -1.06580395878761
"288" "6102" 6.40687998606931 0 "ACUTE" "word" NA NA -1.05159323933711
"289" "6102" 6.6052979209482 0 "BOR" "pseudohomophone" NA "more" -1.03738251988661
"290" "6102" 6.56103066589657 0 "NERCE" "pseudohomophone" NA "less" -1.02317180043611
"291" "6102" 6.57507584059962 0 "WOOND" "pseudohomophone" NA "less" -1.0089610809856
"292" "6102" 6.88959130835447 0 "SOOPE" "pseudohomophone" NA "less" -0.994750361535102
"293" "6102" 6.56244409369372 0 "DURT" "pseudohomophone" NA "more" -0.980539642084601
"294" "6102" 6.52941883826223 0 "BRAX" "nonword" NA "more" -0.9663289226341
"295" "6102" 6.32793678372919 0 "CHAOS" "word" NA NA -0.952118203183598
"296" "6102" 6.49526555593701 0 "GLOAB" "pseudohomophone" NA "less" -0.937907483733097
"297" "6102" 6.89264164117209 0 "NADA" "word" NA NA -0.923696764282595
"298" "6102" 6.61069604471776 0 "NAFF" "nonword" NA "more" -0.909486044832094
"299" "6102" 6.48463523563525 0 "JITE" "nonword" NA "more" -0.895275325381592
"300" "6102" 6.33327962813969 0 "SANDE" "pseudohomophone" NA "less" -0.881064605931091
"301" "6102" 6.74170069465205 0 "NOIZE" "pseudohomophone" NA "less" -0.852643167030088
"302" "6102" 6.59304453414244 0 "STAIN" "word" "high" NA -0.838432447579586
"303" "6102" 6.54965074223381 0 "COMB" "word" "high" NA -0.824221728129085
"304" "6102" 7.04664727784876 0 "RADE" "pseudohomophone" NA "more" -0.810011008678583
"305" "6102" 6.95844839329766 0 "PAIK" "nonword" NA "less" -0.795800289228082
"306" "6102" 6.5206211275587 0 "FERSE" "nonword" NA "more" -0.78158956977758
"307" "6102" 6.96413561241824 0 "FALCE" "pseudohomophone" NA "less" -0.767378850327079
"308" "6102" 6.37842618365159 0 "PIN" "word" "high" NA -0.753168130876578
"309" "6102" 6.84587987526405 0 "DIRE" "word" "low" NA -0.738957411426076
"310" "6102" 6.58340922215876 0 "CAIK" "pseudohomophone" NA "less" -0.724746691975575
"311" "6102" 6.52795791762255 0 "SPIRE" "word" "low" NA -0.710535972525073
"312" "6102" 6.49526555593701 0 "TAIGE" "nonword" NA "less" -0.696325253074572
"313" "6102" 7.04403289727469 0 "GOAST" "pseudohomophone" NA "more" -0.68211453362407
"314" "6102" 6.52502965784346 0 "CAFE" "word" NA NA -0.667903814173569
"315" "6102" 6.71052310945243 0 "PRORE" "nonword" NA "more" -0.653693094723067
"316" "6102" 6.82654522355659 0 "TEECH" "pseudohomophone" NA "more" -0.639482375272566
"317" "6102" 6.59304453414244 0 "JOOCE" "pseudohomophone" NA "less" -0.625271655822064
"318" "6102" 6.71780469502369 0 "SOIZE" "nonword" NA "less" -0.611060936371563
"319" "6102" 6.53378883793334 0 "REET" "nonword" NA "more" -0.596850216921061
"320" "6102" 6.58202513889283 0 "CLEEP" "nonword" NA "more" -0.58263949747056
"321" "6102" NA 1 "GRAIVE" "pseudohomophone" NA "less" -0.568428778020059
"322" "6102" 6.73340189183736 0 "BROAL" "nonword" NA "more" -0.554218058569557
"323" "6102" 6.65929391968364 0 "WAX" "word" NA NA -0.540007339119056
"324" "6102" 6.57228254269401 0 "THAYZE" "nonword" NA "less" -0.525796619668554
